Date,SVI_POV150,LST,NDVI
1/31/2020,00-05% SVI,290.8770426,0.415011731
1/31/2020,05-10% SVI,291.4425318,0.398881467
1/31/2020,10-15% SVI,291.6839986,0.378934219
1/31/2020,15-20% SVI,291.7359721,0.373831112
1/31/2020,> 20% SVI,291.7052318,0.359277918
2/29/2020,00-05% SVI,293.3622499,0.419860002
2/29/2020,05-10% SVI,293.789747,0.408699022
2/29/2020,10-15% SVI,293.9758692,0.390692262
2/29/2020,15-20% SVI,293.8434767,0.386117072
2/29/2020,> 20% SVI,293.9755814,0.371465654
3/31/2020,00-05% SVI,301.223595,0.456945103
3/31/2020,05-10% SVI,301.9938946,0.444271655
3/31/2020,10-15% SVI,302.289212,0.426637994
3/31/2020,15-20% SVI,302.3309853,0.424247414
3/31/2020,> 20% SVI,302.2852986,0.41072483
4/30/2020,00-05% SVI,303.8984351,0.516273452
4/30/2020,05-10% SVI,304.4597637,0.499072063
4/30/2020,10-15% SVI,304.7697368,0.479871865
4/30/2020,15-20% SVI,304.7316053,0.477295299
4/30/2020,> 20% SVI,304.848931,0.456134715
5/31/2020,00-05% SVI,307.9268355,0.512608714
5/31/2020,05-10% SVI,308.4063962,0.493296357
5/31/2020,10-15% SVI,308.6550602,0.474373644
5/31/2020,15-20% SVI,308.6826459,0.471199336
5/31/2020,> 20% SVI,308.8312571,0.453911058
6/30/2020,00-05% SVI,310.5538644,0.478378241
6/30/2020,05-10% SVI,311.1299654,0.465293403
6/30/2020,10-15% SVI,311.3952229,0.448644967
6/30/2020,15-20% SVI,311.2725452,0.444789106
6/30/2020,> 20% SVI,311.3963814,0.422354585
7/31/2020,00-05% SVI,310.0388848,0.487365425
7/31/2020,05-10% SVI,310.5332093,0.477040001
7/31/2020,10-15% SVI,310.6293981,0.455036258
7/31/2020,15-20% SVI,310.4660387,0.450192283
7/31/2020,> 20% SVI,310.8958141,0.435866657
8/31/2020,00-05% SVI,310.4250576,0.478192496
8/31/2020,05-10% SVI,310.9165577,0.460937719
8/31/2020,10-15% SVI,311.198931,0.442533251
8/31/2020,15-20% SVI,311.1849259,0.439866011
8/31/2020,> 20% SVI,311.3804289,0.421024476
9/30/2020,00-05% SVI,305.9961408,0.494067323
9/30/2020,05-10% SVI,306.7507787,0.47653849
9/30/2020,10-15% SVI,307.2894402,0.458627107
9/30/2020,15-20% SVI,307.2318942,0.456540217
9/30/2020,> 20% SVI,307.3554502,0.434992332
10/31/2020,00-05% SVI,301.5520854,0.463070101
10/31/2020,05-10% SVI,301.9548871,0.447123309
10/31/2020,10-15% SVI,302.2761344,0.422993645
10/31/2020,15-20% SVI,302.1734414,0.417786544
10/31/2020,> 20% SVI,302.1843334,0.40147978
11/30/2020,00-05% SVI,297.2594485,0.479766116
11/30/2020,05-10% SVI,297.5930157,0.45311629
11/30/2020,10-15% SVI,297.7912786,0.432183902
11/30/2020,15-20% SVI,297.7558161,0.429597285
11/30/2020,> 20% SVI,297.8518236,0.41548394
12/31/2020,00-05% SVI,292.7692855,0.420690056
12/31/2020,05-10% SVI,293.1183673,0.395425632
12/31/2020,10-15% SVI,293.2005805,0.375611414
12/31/2020,15-20% SVI,293.2178509,0.370614697
12/31/2020,> 20% SVI,293.2617834,0.35886354
